crop,year,season,state,area,production,fertilizer,pesticide,yield,avg_temp_c,total_rainfall_mm,avg_humidity_percent,N,P,K,pH,solar_radiation,nasa_precipitation,nasa_humidity,nasa_temp_avg,nasa_temp_max,nasa_temp_min,NDVI,SAVI,GrNDVI,yield_log
Arhar/Tur,2014,Rabi,Andhra Pradesh,1564.0,1224,236101.44,516.12,0.727,28.18,749.08,66.95,78,45,22,6.8,21.92,0.33,31.45,18.71,44.64,-6.96,0.447223958318894,0.284604833353363,0.508868600603397,0.5463857991645416
Arhar/Tur,2015,Kharif,Andhra Pradesh,215323.0,128654,34001654.93,71056.59,0.579230769,28.21,824.0,67.96,78,45,22,6.8,21.26,0.27,30.45,19.64,43.64,-4.99,0.445226959993265,0.284267323074824,0.509660055221076,0.4569378734231779
Arhar/Tur,2015,Rabi,Andhra Pradesh,4995.0,3472,788760.45,1648.35,0.643,28.21,824.0,67.96,78,45,22,6.8,21.26,0.27,30.45,19.64,43.64,-4.99,0.445226959993265,0.284267323074824,0.509660055221076,0.49652383905513103
Arhar/Tur,2016,Kharif,Andhra Pradesh,342883.0,129160,52546819.75,120009.05,0.493076923,28.04,935.87,68.69,78,45,22,6.8,22.8,0.16,27.38,19.95,43.98,-6.01,0.420954373266911,0.270636045203873,0.494528477763559,0.4008390396678623
Arhar/Tur,2016,Rabi,Andhra Pradesh,6555.0,3818,1004553.75,2294.25,0.481818182,28.04,935.87,68.69,78,45,22,6.8,22.8,0.16,27.38,19.95,43.98,-6.01,0.420954373266911,0.270636045203873,0.494528477763559,0.39326983513704544
Arhar/Tur,2017,Kharif,Andhra Pradesh,275367.0,116695,43353780.48,104639.46,0.567692308,28.14,991.2,69.86,78,45,22,6.8,22.49,0.23,27.94,19.68,44.31,-8.02,0.440340935998733,0.282317772016788,0.506081682876089,0.4496046705293129
Arhar/Tur,2017,Rabi,Andhra Pradesh,4148.0,3394,653061.12,1576.24,0.55,28.14,991.2,69.86,78,45,22,6.8,22.49,0.23,27.94,19.68,44.31,-8.02,0.440340935998733,0.282317772016788,0.506081682876089,0.4382549309311553
Arhar/Tur,2018,Kharif,Andhra Pradesh,245675.0,44213,39848485.0,85986.25,0.311538462,28.18,927.05,67.4,78,45,22,6.8,20.09,0.39,30.95,19.72,43.19,-5.51,0.431308989322347,0.276106628857949,0.5035483185084,0.2712008466198952
Arhar/Tur,2018,Rabi,Andhra Pradesh,4099.0,1352,664857.8,1434.65,0.31,28.18,927.05,67.4,78,45,22,6.8,20.09,0.39,30.95,19.72,43.19,-5.51,0.431308989322347,0.276106628857949,0.5035483185084,0.27002713721306015
Arhar/Tur,2019,Kharif,Andhra Pradesh,237647.0,114451,40818248.72,87929.39,0.44,28.2,1027.8,71.25,78,45,22,6.8,20.4,0.52,33.0,19.46,45.96,-4.15,0.418683080193024,0.270967959078618,0.492430356949931,0.3646431135879093
Arhar/Tur,2019,Rabi,Andhra Pradesh,5940.0,3747,1020254.4,2197.8,0.43,28.2,1027.8,71.25,78,45,22,6.8,20.4,0.52,33.0,19.46,45.96,-4.15,0.418683080193024,0.270967959078618,0.492430356949931,0.35767444427181594
Bajra,1997,Kharif,Andhra Pradesh,89400.0,63600,8508198.0,27714.0,0.815882353,28.21,1191.08,69.56,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.358337364932166,0.216236085168988,0.415732090801404,0.5965714944902457
Bajra,1998,Kharif,Andhra Pradesh,120000.0,114500,11856000.0,34800.0,0.988235294,28.21,1100.41,71.95,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.326280875951071,0.208571821553579,0.389858609351306,0.6872474583735855
Bajra,1998,Rabi,Andhra Pradesh,7300.0,4600,721240.0,2117.0,0.905714286,28.21,1100.41,71.95,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.326280875951071,0.208571821553579,0.389858609351306,0.6448568915820894
Bajra,1999,Kharif,Andhra Pradesh,106564.0,90556,11309637.32,28772.28,0.899444444,28.03,603.67,66.91,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.354477842199428,0.212690797233028,0.424582822676327,0.6415614455210586
Bajra,1999,Rabi,Andhra Pradesh,10039.0,6886,1065439.07,2710.53,0.860909091,28.03,603.67,66.91,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.354477842199428,0.212690797233028,0.424582822676327,0.6210651269236797
Bajra,2000,Kharif,Andhra Pradesh,129475.0,135964,12710560.75,33663.5,1.001666667,27.74,1070.25,70.73,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.421812317623121,0.272456272720092,0.488169367863946,0.6939801670303651
Bajra,2000,Rabi,Andhra Pradesh,14229.0,12524,1396860.93,3699.54,0.883125,27.74,1070.25,70.73,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.421812317623121,0.272456272720092,0.488169367863946,0.6329326309024286
Bajra,2001,Kharif,Andhra Pradesh,81851.0,63589,8359442.63,21281.26,0.851764706,28.08,910.13,68.69,78,45,22,6.8,22.08,0.27,27.17,20.2,44.56,-6.48,0.409053118849408,0.263347436445669,0.487147124360006,0.6161390795565188
Bajra,2001,Rabi,Andhra Pradesh,9684.0,7442,989026.92,2517.84,0.795,28.08,910.13,68.69,78,45,22,6.8,22.08,0.27,27.17,20.2,44.56,-6.48,0.409053118849408,0.263347436445669,0.487147124360006,0.5850050219402423
Bajra,2002,Kharif,Andhra Pradesh,79711.0,53526,7546240.37,19927.75,0.706470588,28.54,768.22,66.52,78,45,22,6.8,22.58,0.28,29.2,19.62,42.96,-4.96,0.418435283861736,0.269093436042249,0.490732228050658,0.5344272539392131
Bajra,2002,Rabi,Andhra Pradesh,7268.0,3953,688061.56,1817.0,0.594285714,28.54,768.22,66.52,78,45,22,6.8,22.58,0.28,29.2,19.62,42.96,-4.96,0.418435283861736,0.269093436042249,0.490732228050658,0.46642580771864006
Bajra,2003,Kharif,Andhra Pradesh,128512.0,141628,12720117.76,30842.88,1.072631579,28.31,857.23,68.83,78,45,22,6.8,21.74,0.34,30.0,19.34,45.89,-7.87,0.383560492404634,0.250671198208487,0.472710748986577,0.7288190940699326
Bajra,2003,Rabi,Andhra Pradesh,9603.0,6475,950504.94,2304.72,0.88375,28.31,857.23,68.83,78,45,22,6.8,21.74,0.34,30.0,19.34,45.89,-7.87,0.383560492404634,0.250671198208487,0.472710748986577,0.6332644709585682
Bajra,2004,Kharif,Andhra Pradesh,83441.0,74571,9039997.94,17522.61,0.86,27.72,759.1,69.79,78,45,22,6.8,22.42,0.48,29.96,19.38,44.33,-4.36,0.429392228448904,0.273322630837382,0.496087693994138,0.6205764877251099
Bajra,2004,Rabi,Andhra Pradesh,10128.0,6712,1097267.52,2126.88,0.661818182,27.72,759.1,69.79,78,45,22,6.8,22.42,0.48,29.96,19.38,44.33,-4.36,0.429392228448904,0.273322630837382,0.496087693994138,0.5079122933370426
Bajra,2005,Kharif,Andhra Pradesh,68884.0,72401,8260569.28,14465.64,0.941666667,27.95,1192.26,71.1,78,45,22,6.8,22.99,0.25,30.33,19.28,44.07,-6.4,0.404761606028734,0.262142936321858,0.482940747508332,0.6635467109553284
Bajra,2005,Rabi,Andhra Pradesh,12107.0,9751,1451871.44,2542.47,0.952307692,27.95,1192.26,71.1,78,45,22,6.8,22.99,0.25,30.33,19.28,44.07,-6.4,0.404761606028734,0.262142936321858,0.482940747508332,0.6690121046671005
Bajra,2006,Kharif,Andhra Pradesh,48995.0,39988,6257151.45,10778.9,0.7375,27.65,1343.62,71.34,78,45,22,6.8,22.53,0.36,30.27,19.2,43.58,-5.73,0.444517916751198,0.284900282353256,0.502742607560546,0.5524472984568102
Bajra,2006,Rabi,Andhra Pradesh,12081.0,6986,1542864.51,2657.82,0.824545455,27.65,1343.62,71.34,78,45,22,6.8,22.53,0.36,30.27,19.2,43.58,-5.73,0.444517916751198,0.284900282353256,0.502742607560546,0.6013308902590043
Bajra,2007,Kharif,Andhra Pradesh,60000.0,81000,8004000.0,9600.0,1.391538462,27.44,1067.72,72.52,78,45,22,6.8,22.55,0.31,30.28,18.61,44.45,-5.54,0.422239973794801,0.2726197591217,0.49415098846356,0.8719368668021138
Bajra,2007,Rabi,Andhra Pradesh,14000.0,11000,1867600.0,2240.0,0.9175,27.44,1067.72,72.52,78,45,22,6.8,22.55,0.31,30.28,18.61,44.45,-5.54,0.422239973794801,0.2726197591217,0.49415098846356,0.6510222542592742
Bajra,2008,Kharif,Andhra Pradesh,49844.0,51316,7129685.76,4485.96,1.134375,27.71,1157.69,70.95,78,45,22,6.8,20.55,0.27,29.65,18.97,44.14,-11.03,0.450412669610075,0.287363167314044,0.504250124030163,0.7581738637770178
Bajra,2008,Rabi,Andhra Pradesh,9274.0,8873,1326552.96,834.66,1.1875,27.71,1157.69,70.95,78,45,22,6.8,20.55,0.27,29.65,18.97,44.14,-11.03,0.450412669610075,0.287363167314044,0.504250124030163,0.7827593392496325
Bajra,2009,Kharif,Andhra Pradesh,33411.0,43471,5206102.02,5679.87,1.3,28.42,819.63,68.11,78,45,22,6.8,19.68,0.39,31.94,19.28,44.41,-4.98,0.412956983783836,0.263635946138875,0.488674499538552,0.832909122935104
Bajra,2009,Rabi,Andhra Pradesh,11938.0,9884,1860179.16,2029.46,1.296363636,28.42,819.63,68.11,78,45,22,6.8,19.68,0.39,31.94,19.28,44.41,-4.98,0.412956983783836,0.263635946138875,0.488674499538552,0.8313268439656214
Bajra,2010,Kharif,Andhra Pradesh,51338.0,84908,8527755.18,12321.12,1.229444444,27.91,1557.24,73.66,78,45,22,6.8,20.89,0.22,27.01,20.14,45.28,-5.46,0.433828770551753,0.27978463832098,0.493177106997698,0.8017524261833086
Bajra,2010,Rabi,Andhra Pradesh,15988.0,17254,2655766.68,3837.12,1.454545455,27.91,1557.24,73.66,78,45,22,6.8,20.89,0.22,27.01,20.14,45.28,-5.46,0.433828770551753,0.27978463832098,0.493177106997698,0.8979415933911438
Bajra,2011,Kharif,Andhra Pradesh,32415.0,47506,5430160.8,10696.95,1.221764706,27.96,730.18,68.3,78,45,22,6.8,20.71,0.26,31.06,19.37,44.11,-5.67,0.455915421609178,0.290124838988815,0.514768953367696,0.7983017927211016
Bajra,2011,Rabi,Andhra Pradesh,10748.0,11138,1800504.96,3546.84,1.235,27.96,730.18,68.3,78,45,22,6.8,20.71,0.26,31.06,19.37,44.11,-5.67,0.455915421609178,0.290124838988815,0.514768953367696,0.8042412280655322
Bajra,2012,Kharif,Andhra Pradesh,60000.0,100000,9048000.0,18600.0,1.483636364,27.87,1192.65,70.2,78,45,22,6.8,21.82,0.45,32.3,18.47,44.57,-7.25,0.42621622475859,0.271881742129608,0.496235214987032,0.9097237620506317
Bajra,2012,Rabi,Andhra Pradesh,7000.0,11000,1055600.0,2170.0,1.4,27.87,1192.65,70.2,78,45,22,6.8,21.82,0.45,32.3,18.47,44.57,-7.25,0.42621622475859,0.271881742129608,0.496235214987032,0.8754687373538999
Bajra,2013,Kharif,Andhra Pradesh,46930.0,77599,6780915.7,12671.1,1.621818182,27.45,1279.53,72.34,78,45,22,6.8,21.55,0.29,30.28,19.36,44.99,-5.65,0.450893443517629,0.288401943957402,0.508286916344373,0.9638680396877258
Bajra,2013,Rabi,Andhra Pradesh,2297.0,4256,331893.53,620.19,1.78,27.45,1279.53,72.34,78,45,22,6.8,21.55,0.29,30.28,19.36,44.99,-5.65,0.450893443517629,0.288401943957402,0.508286916344373,1.0224509277025458
Bajra,2014,Kharif,Andhra Pradesh,24755.0,31913,3737014.8,8169.15,1.560909091,28.18,749.08,66.95,78,45,22,6.8,21.92,0.33,31.45,18.71,44.64,-6.96,0.447223958318894,0.284604833353363,0.508868600603397,0.9403623091254095
Bajra,2014,Rabi,Andhra Pradesh,3423.0,6586,516736.08,1129.59,1.624285714,28.18,749.08,66.95,78,45,22,6.8,21.92,0.33,31.45,18.71,44.64,-6.96,0.447223958318894,0.284604833353363,0.508868600603397,0.9648087500628478
Bajra,2015,Kharif,Andhra Pradesh,33319.0,58890,5261403.29,10995.27,1.908181818,28.21,824.0,67.96,78,45,22,6.8,21.26,0.27,30.45,19.64,43.64,-4.99,0.445226959993265,0.284267323074824,0.509660055221076,1.0675280811005365
Bajra,2015,Rabi,Andhra Pradesh,3421.0,6133,540210.11,1128.93,1.978333333,28.21,824.0,67.96,78,45,22,6.8,21.26,0.27,30.45,19.64,43.64,-4.99,0.445226959993265,0.284267323074824,0.509660055221076,1.0913638598313622
Bajra,2016,Kharif,Andhra Pradesh,38762.0,67598,5940276.5,13566.7,1.744545455,28.04,935.87,68.69,78,45,22,6.8,22.8,0.16,27.38,19.95,43.98,-6.01,0.420954373266911,0.270636045203873,0.494528477763559,1.0096154710859946
Bajra,2016,Rabi,Andhra Pradesh,3124.0,4355,478753.0,1093.4,1.827142857,28.04,935.87,68.69,78,45,22,6.8,22.8,0.16,27.38,19.95,43.98,-6.01,0.420954373266911,0.270636045203873,0.494528477763559,1.0392666105086306
Bajra,2017,Kharif,Andhra Pradesh,43367.0,82916,6827700.48,16479.46,1.854545455,28.14,991.2,69.86,78,45,22,6.8,22.49,0.23,27.94,19.68,44.31,-8.02,0.440340935998733,0.282317772016788,0.506081682876089,1.048912620275073
Bajra,2017,Rabi,Andhra Pradesh,4990.0,10252,785625.6,1896.2,1.833333333,28.14,991.2,69.86,78,45,22,6.8,22.49,0.23,27.94,19.68,44.31,-8.02,0.440340935998733,0.282317772016788,0.506081682876089,1.041453874710514
Bajra,2018,Kharif,Andhra Pradesh,20932.0,21212,3395170.4,7326.2,1.300909091,28.18,927.05,67.4,78,45,22,6.8,20.09,0.39,30.95,19.72,43.19,-5.51,0.431308989322347,0.276106628857949,0.5035483185084,0.8333043017981723
Bajra,2018,Rabi,Andhra Pradesh,1182.0,1586,191720.4,413.7,1.353333333,28.18,927.05,67.4,78,45,22,6.8,20.09,0.39,30.95,19.72,43.19,-5.51,0.431308989322347,0.276106628857949,0.5035483185084,0.8558327626953979
Bajra,2019,Kharif,Andhra Pradesh,20484.0,47045,3518331.84,7579.08,2.004545455,28.2,1027.8,71.25,78,45,22,6.8,20.4,0.52,33.0,19.46,45.96,-4.15,0.418683080193024,0.270967959078618,0.492430356949931,1.1001262936506107
Bajra,2019,Rabi,Andhra Pradesh,4592.0,11322,788721.92,1699.04,2.48,28.2,1027.8,71.25,78,45,22,6.8,20.4,0.52,33.0,19.46,45.96,-4.15,0.418683080193024,0.270967959078618,0.492430356949931,1.247032293786383
Banana,2000,Whole Year,Andhra Pradesh,49051.0,819660,4815336.67,12753.26,17.63090909,27.74,1070.25,70.73,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.421812317623121,0.272456272720092,0.488169367863946,2.9248219805244067
Banana,2001,Whole Year,Andhra Pradesh,50507.0,761365,5158279.91,13131.82,11.73363636,28.08,910.13,68.69,78,45,22,6.8,22.08,0.27,27.17,20.2,44.56,-6.48,0.409053118849408,0.263347436445669,0.487147124360006,2.5442470245670132
